Question ID,Requirement ID,Requirement Area,Category,Priority,Question,Status,Client Response
Q1.1,REQ-01,Vendor Registration & Login,Vendor Onboarding,HIGH,"Who initiates the vendor registration — does the vendor self-register, or is a vendor account created by an internal admin? If self-registration: is there an approval/verification step before the vendor can access the portal?",Open,
Q1.2,REQ-01,Vendor Registration & Login,Authentication Method,HIGH,"What authentication method is required — username/password, SSO, OAuth, OTP/MFA? Is MFA mandatory or optional?",Open,
Q1.3,REQ-01,Vendor Registration & Login,Password Policy,MEDIUM,"What are the password complexity rules (min length, special chars, expiry)? How many failed login attempts trigger account lockout? Is there a self-service password reset flow?",Open,
Q1.4,REQ-01,Vendor Registration & Login,Session Management,HIGH,What is the session timeout period? Should concurrent sessions be allowed or restricted (one session per user at a time)?,Open,
Q1.5,REQ-01,Vendor Registration & Login,Vendor Profile Data,MEDIUM,"What mandatory and optional fields are required during registration (e.g. GSTIN, PAN, bank account, contact info)? Is document verification required at signup?",Open,
Q1.6,REQ-01,Vendor Registration & Login,Account States,HIGH,"What are the possible vendor account states (Pending, Active, Suspended, Deactivated)? Who can change state and what triggers each transition?",Open,
Q2.1,REQ-02,Invoice Submission,File Format Acceptance,CRITICAL,"What file formats are accepted for invoice uploads — PDF only, or also Excel, CSV, images, ZIP? Will scanned (non-machine-readable) PDFs be accepted?",Open,
Q2.2,REQ-02,Invoice Submission,File Size & Count Limits,HIGH,What is the maximum single file size? Is there a maximum number of files per invoice submission? Is there a total payload size limit per session?,Open,
Q2.3,REQ-02,Invoice Submission,PO Validation Rules,CRITICAL,Must a valid PO number exist in the system before the invoice can be submitted? Can a vendor submit against a PO belonging to another vendor?,Open,
Q2.4,REQ-02,Invoice Submission,Invoice Amount Tolerance,CRITICAL,"Is the invoice amount validated against the PO line item value? What tolerance is permitted (0%, ±5%)? What happens if the invoiced amount exceeds the PO value?",Open,
Q2.5,REQ-02,Invoice Submission,Duplicate Invoice Prevention,HIGH,"How is a duplicate invoice detected — by invoice number, file hash, or vendor+amount+PO? What happens if a duplicate is submitted — silently reject, warn, or allow with flag?",Open,
Q2.6,REQ-02,Invoice Submission,Invoice Status Lifecycle,HIGH,"What are all possible invoice statuses (Draft, Submitted, Under Review, Approved, Rejected, Paid, Cancelled)? Can a vendor save a draft before submission?",Open,
Q2.7,REQ-02,Invoice Submission,Edit & Withdrawal,HIGH,Can a vendor edit an invoice after submission but before AP review? Can they withdraw an invoice? Under what conditions? Who is notified?,Open,
Q2.8,REQ-02,Invoice Submission,Mandatory Invoice Fields,CRITICAL,"What fields are mandatory on the invoice (invoice number, date, line items, tax breakdown, bank details)? Is GST/VAT breakdown mandatory?",Open,
Q2.9,REQ-02,Invoice Submission,Partial Invoice / Milestone Billing,MEDIUM,"Is partial billing against a PO supported? If so, does the system track cumulative billed amount against PO ceiling?",Open,
Q3.1,REQ-03,AP Approval Workflow,AP User Roles,CRITICAL,What sub-roles exist within the AP team (AP Reviewer vs AP Approver vs AP Manager)? Is there a multi-level approval hierarchy for high-value invoices?,Open,
Q3.2,REQ-03,AP Approval Workflow,Approval SLA,HIGH,Is there a defined SLA for invoice review (e.g. 5 business days)? Does the system send reminder alerts when SLA is approaching or breached?,Open,
